link,type,publisher,published,imageSource,imageAlt
https://www.bbc.co.uk/news/uk-northern-ireland-60696217,News,BBC Radio 4,Northern Ireland,https://ichef.bbci.co.uk/news/416/cpsprodpb/6196/production/_123628942_mediaitem123621982.jpg,NI Protocol: Edwin Poots wants EU pressed on seeds importation rules
https://www.bbc.co.uk/sport/formula1/60678476,News,BBC Radio 4,Formula 1,https://ichef.bbci.co.uk/news/416/cpsprodpb/1761B/production/_123617759_gettyimages-1372299970.jpg,Formula 1: Russian driver Nikita Mazepin and father Dmitry sanctioned by EU
https://www.bbc.co.uk/news/uk-northern-ireland-60654362,News,Unknown,Northern Ireland,https://ichef.bbci.co.uk/news/416/cpsprodpb/1585D/production/_115975188_gettyimages-1229980892.jpg,Brexit: UK and EU 'still determined to find solutions to protocol'
https://www.bbc.co.uk/news/uk-politics-60661085,News,Unknown,UK Politics,https://ichef.bbci.co.uk/news/416/cpsprodpb/17C8B/production/_123591479_containersreuters-2.jpg,"UK owes EU money over customs fraud, court rules"
https://www.bbc.co.uk/programmes/p0btddq1,Programmes,BBC World Service,9 March,https://ichef.bbci.co.uk/images/ic/314x176/p0bx7k4x.jpg,World Business Report: Vote to end EU golden passports for Russians
https://www.bbc.co.uk/programmes/m0015n7z,Programmes,BBC World Service,BBC  World News,https://ichef.bbci.co.uk/images/ic/314x176/p0bwntdg.jpg,HARDtalk: Kadri Simson - EU Commissioner for Energy
https://www.bbc.co.uk/news/world-europe-60654586,News,BBC World Service,Europe,https://ichef.bbci.co.uk/news/416/cpsprodpb/687C/production/_123584762_tv074259095.jpg,Could EU weaponise energy in Russia crisis?
https://www.bbc.co.uk/programmes/p0bt64gy,Programmes,BBC World Service,8 March,https://ichef.bbci.co.uk/images/ic/314x176/p0bx7k4x.jpg,World Business Report: EU outlines Russia energy plan
https://www.bbc.co.uk/programmes/p037lrj7,Programmes,BBC Radio 4,Check BBC for Programme release,https://ichef.bbci.co.uk/images/ic/314x176/p037lrlx.jpg,A New Life in Europe: The Dhnie Family
https://www.bbc.co.uk/programmes/b01qw93s,Programmes,BBC Radio 4,25 February 2013,https://ichef.bbci.co.uk/images/ic/314x176/p01j2v04.jpg,This Eurosceptic Isle
https://www.bbc.co.uk/programmes/b063m4yl,Programmes,BBC Radio 4,9 July 2015,https://ichef.bbci.co.uk/images/ic/314x176/p02wncpf.jpg,Is the European Dream Over?
https://www.bbc.co.uk/news/world-europe-60539303,News,BBC Radio 4,Europe,https://ichef.bbci.co.uk/news/416/cpsprodpb/1F26/production/_123447970_gettyimages-1238756719.jpg,Ukraine invasion: EU shuts airspace to Russian planes
https://www.bbc.co.uk/programmes/w172xzlpvbszcz2,Programmes,BBC World Service,28 February,https://ichef.bbci.co.uk/images/ic/314x176/p0brk2cc.jpg,World Business Report: The EU imposes fresh economic sanctions on Russia
https://www.bbc.co.uk/news/world-europe-60960155,News,BBC World Service,Europe,https://ichef.bbci.co.uk/news/416/cpsprodpb/15D54/production/_123982498_image00001.jpg,"Ukraine war: Europe's new security era, faced with Russian threat"
https://www.bbc.co.uk/programmes/b067wz55,Programmes,BBC World Service,BBC Radio 4 Extra,https://ichef.bbci.co.uk/images/ic/314x176/p030bjs3.jpg,Grant Eustace - Absolute Discretion
https://www.bbc.co.uk/programmes/b09t0r99,Programmes,BBC World Service,BBC Radio 4 Extra,https://ichef.bbci.co.uk/images/ic/314x176/p05z1qlc.jpg,Grant Eustace - The Salamander Chest
https://www.bbc.co.uk/programmes/m0013r63,Programmes,BBC World Service,BBC Radio Ulster,https://ichef.bbci.co.uk/images/ic/314x176/p0bl8h3n.jpg,Europop - The Neil Hannon Show
https://www.bbc.co.uk/programmes/l003bd3h,Programmes,BBC World Service,BBC Sport,https://ichef.bbci.co.uk/images/ic/314x176/p09wmrvz.jpg,Scotland Beach Volleyball - Birmingham 2022 European regional qualifier
https://www.bbc.co.uk/programmes/l002y9l7,Programmes,Unknown,BBC Sport,https://ichef.bbci.co.uk/images/ic/314x176/p09bdv5b.jpg,FIFA Global Series: Fourth European qualifying leg - day two
https://www.bbc.co.uk/programmes/l002y9jp,Programmes,Unknown,BBC Sport,https://ichef.bbci.co.uk/images/ic/314x176/p09bc0pp.jpg,FIFA Global Series: Fourth European qualifying leg - day one
https://www.bbc.co.uk/programmes/p00s8pqb,Programmes,Unknown,BBC,https://ichef.bbci.co.uk/images/ic/314x176/p01l8sys.jpg,Cities of Europe
https://www.bbc.co.uk/programmes/m000ww83,Programmes,Unknown,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p09k910t.jpg,Crouchy's Year-Late Euros: Live
https://www.bbc.co.uk/programmes/b0c1rjj7,Programmes,Unknown,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p06ywdwk.jpg,Inside Europe: Ten Years of Turmoil
https://www.bbc.co.uk/programmes/b0070hvg,Programmes,Unknown,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p06604lj.jpg,Eurovision Song Contest
https://www.bbc.co.uk/programmes/b09kg57l,Programmes,BBC Radio 4,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p05q4652.jpg,Black Music in Europe: A Hidden History
https://www.bbc.co.uk/programmes/p03mn5jg,Programmes,BBC World Service,BBC One,https://ichef.bbci.co.uk/images/ic/314x176/p08dwm55.jpg,Network Europe
https://www.bbc.co.uk/programmes/p03l8ds1,Programmes,BBC World Service,14 June 1998,https://ichef.bbci.co.uk/images/ic/314x176/p08dwm55.jpg,A Question of Europe
https://www.bbc.co.uk/programmes/m0002lvs,Programmes,BBC Radio 4,18 February 2019,https://ichef.bbci.co.uk/images/ic/314x176/p0706skt.jpg,The Rising Right in Europe
https://www.bbc.co.uk/programmes/p0704rjr,Programmes,BBC Radio 4,BBC Sounds,https://ichef.bbci.co.uk/images/ic/314x176/p0704rm1.jpg,Eurovision Calling
https://www.bbc.co.uk/programmes/m0002hy0,Programmes,BBC Radio 4,15 February 2019,https://ichef.bbci.co.uk/images/ic/314x176/p06zgngc.jpg,Not the Biggest Hotel in Europe
https://www.bbc.co.uk/programmes/b07v7rf2,Programmes,BBC Radio 4,15 February 2019,https://ichef.bbci.co.uk/images/ic/314x176/p046ddvq.jpg,Eastern Europeans in Brexitland
https://www.bbc.co.uk/programmes/b07c21h0,Programmes,BBC Radio 4,15 February 2019,https://ichef.bbci.co.uk/images/ic/314x176/p03t45vk.jpg,Europeans - The Roots of Identity
https://www.bbc.co.uk/programmes/b076wh2t,Programmes,BBC Radio 4,15 February 2019,https://ichef.bbci.co.uk/images/ic/314x176/p03pllj2.jpg,Inglorious Isolation: A European's History of Britain
https://www.bbc.co.uk/programmes/p03jrkmx,Programmes,BBC World Service,15 February 2019,https://ichef.bbci.co.uk/images/ic/314x176/p06lrx0y.jpg,Europe's Young Muslims
https://www.bbc.co.uk/programmes/b071c5cr,Programmes,BBC Radio 4,15 February 2019,https://ichef.bbci.co.uk/images/ic/314x176/p03j4865.jpg,Europe: Strangers on My Doorstep
https://www.bbc.co.uk/programmes/p033k7jm,Programmes,BBC World Service,17 November 1990,https://ichef.bbci.co.uk/images/ic/314x176/p08dwm55.jpg,Christmas in Eastern Europe
https://www.bbc.co.uk/programmes/p0344pcj,Programmes,BBC World Service,19 August 1983,https://ichef.bbci.co.uk/images/ic/314x176/p08dwm55.jpg,European Court Of Justice
https://www.bbc.co.uk/programmes/p0376s18,Programmes,BBC World Service,19 July 1994,https://ichef.bbci.co.uk/images/ic/314x176/p08dwm55.jpg,The Rebirth of Europe
https://www.bbc.co.uk/programmes/b06tqjvr,Programmes,BBC Radio 4,30 December 2015,https://ichef.bbci.co.uk/images/ic/314x176/p03cvjv2.jpg,A New Life in Europe
https://www.bbc.co.uk/programmes/b06f1s93,Programmes,BBC Radio 4,30 December 2015,https://ichef.bbci.co.uk/images/ic/314x176/p033s4yr.jpg,Reading Europe
https://www.bbc.co.uk/programmes/p03360kz,Programmes,BBC World Service,30 December 2015,https://ichef.bbci.co.uk/images/ic/314x176/p033drxb.jpg,Eureka
https://www.bbc.co.uk/programmes/p0335yjk,Programmes,BBC World Service,30 December 2015,https://ichef.bbci.co.uk/images/ic/314x176/p08dwm55.jpg,The Birth of Europe
https://www.bbc.co.uk/programmes/p02v38lr,Programmes,BBC World Service,30 December 2015,https://ichef.bbci.co.uk/images/ic/314x176/p02msy0l.jpg,Eurozone Finance Ministers Fail To Agree Deal to End Greek Crisis
https://www.bbc.co.uk/programmes/b052899z,Programmes,BBC Radio 4,30 December 2015,https://ichef.bbci.co.uk/images/ic/314x176/p02jrw3c.jpg,Letters from Europe
https://www.bbc.co.uk/programmes/b03vq4ml,Programmes,BBC Radio 4,30 December 2015,https://ichef.bbci.co.uk/images/ic/314x176/p01s4dx3.jpg,Europe's Troublemakers
https://www.bbc.co.uk/programmes/p002w558,Programmes,BBC World Service,30 December 2015,https://ichef.bbci.co.uk/images/ic/314x176/p01lyrf7.jpg,Europe Today Archive
https://www.bbc.co.uk/programmes/b01s0f5q,Programmes,BBC Radio 4,Check BBC for Programme release,https://ichef.bbci.co.uk/images/ic/314x176/p01l9f6t.jpg,How to Run Europe
https://www.bbc.co.uk/programmes/b01p9l5f,Programmes,BBC Radio 4,18 December 2012,https://ichef.bbci.co.uk/images/ic/314x176/p01j0my0.jpg,Europe Moves East
https://www.bbc.co.uk/programmes/b00yj88m,Programmes,BBC Radio 4,18 December 2012,https://ichef.bbci.co.uk/images/ic/314x176/p01l6bt1.jpg,Europe: Driving on the Right
https://www.bbc.co.uk/programmes/b00qf5wp,Programmes,BBC Radio 4,4 February 2010,https://ichef.bbci.co.uk/images/ic/314x176/p01gnjst.jpg,2010: Space Odyssey to Europa
https://www.bbc.co.uk/programmes/b007xbqj,Programmes,BBC Radio 4,4 February 2010,https://ichef.bbci.co.uk/images/ic/314x176/p01lypgq.jpg,The Eureka Years
https://www.bbc.co.uk/news/world-europe-60519181,News,BBC Radio 4,Europe,https://ichef.bbci.co.uk/news/416/cpsprodpb/165DB/production/_123411619_gettyimages-1238740794.jpg,Ukraine crisis: Tough and emotional summit as EU leaders seek unity
https://www.bbc.co.uk/sport/football/60883952,News,BBC Radio 4,Premier League,https://ichef.bbci.co.uk/news/416/cpsprodpb/932E/production/_123987673_stevengerrard.jpg,Wolverhampton Wanderers 2-1 Aston Villa: Steven Gerrard unhappy as Wolves boost European hopes
https://www.bbc.co.uk/programmes/p03w913k,Programmes,BBC World Service,2 June 2016,https://ichef.bbci.co.uk/images/ic/314x176/p03wxf97.jpg,The Compass: Europe's Challenges: Europe’s Challenges: The Union in Crisis
https://www.bbc.co.uk/sport/football/60565945,Programmes,BBC World Service,Everton,https://ichef.bbci.co.uk/news/416/cpsprodpb/67D9/production/_123458562_alisherusmanov.jpg,Alisher Usmanov: Everton-linked Russian billionaire has assets frozen by EU
https://www.bbc.co.uk/news/science-environment-60913226,News,BBC World Service,Science & Environment,https://ichef.bbci.co.uk/news/416/cpsprodpb/13208/production/_123944387_clothesrack_getty.jpg,Fast fashion: European Union reveals fast fashion crackdown
https://www.bbc.co.uk/sport/football/60958890,Unknown,Unknown,European Football,https://ichef.bbci.co.uk/news/416/cpsprodpb/11235/production/_123979107_gettyimages-1369607641-1.jpg,Dynamo Kyiv to play top European clubs to raise money for Ukraine
https://www.bbc.co.uk/sport/football/60952231,Unknown,Unknown,Rangers,https://ichef.bbci.co.uk/news/416/cpsprodpb/11C7B/production/_123972827_20408041.jpg,Alfredo Morelos: Rangers striker out of Old Firm derby and set to miss Europa League quarter-final
https://www.bbc.co.uk/programmes/p0brjcrf,Programmes,BBC News,27 February,https://ichef.bbci.co.uk/images/ic/314x176/p0brjczd.jpg,Ros Atkins On...: Military Aid Sent To Ukraine From EU
https://www.bbc.co.uk/programmes/m000kdh1,Programmes,BBC News,BBC Radio 5 live,https://ichef.bbci.co.uk/images/ic/314x176/p0byvz9s.jpg,5 Live Sport: Euro Leagues
https://www.bbc.co.uk/programmes/p03zy7nz,Programmes,BBC World Service,7 July 2016,https://ichef.bbci.co.uk/images/ic/314x176/p040jql6.jpg,The Compass: Destination Europe: Greece: The Warehouse of Souls
https://www.bbc.co.uk/news/technology-60484979,News,BBC World Service,Technology,https://ichef.bbci.co.uk/news/416/cpsprodpb/16913/production/_123353429_getty.png,Ukraine: EU deploys cyber rapid-response team
https://www.bbc.co.uk/programmes/m000w9lk,Programmes,BBC News Channel,20 May 2021,https://ichef.bbci.co.uk/images/ic/314x176/p09lgmcl.jpg,HARDtalk: Vladimir Chizhov - Russia's Ambassador to the EU
https://www.bbc.co.uk/programmes/m000xzm6,Programmes,BBC Parliament,1 July 2021,https://ichef.bbci.co.uk/images/ic/314x176/p09n7n7b.jpg,House of Lords: Lords EU Settlement Scheme Statement
https://www.bbc.co.uk/programmes/m000xvrb,Programmes,BBC Parliament,29 June 2021,https://ichef.bbci.co.uk/images/ic/314x176/p09myywq.jpg,House of Commons: Live EU Settlement Scheme Urgent Question
