link,type,publisher,published,imageSource,imageAlt
https://www.bbc.co.uk/programmes/b08h4kwn,Programmes,BBC News Channel,BBC Radio 4 Extra,https://ichef.bbci.co.uk/images/ic/314x176/p04txn5w.jpg,Frances McNeil - Nickin' Julius Caesar
https://www.bbc.co.uk/programmes/b07yjm5v,Programmes,BBC News Channel,BBC Radio Wales,https://ichef.bbci.co.uk/images/ic/314x176/p04b2c3r.jpg,Lost in France
https://www.bbc.co.uk/programmes/b03twwlp,Programmes,BBC News Channel,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p046djfn.jpg,Frances Ha
https://www.bbc.co.uk/programmes/b00c81q3,Programmes,BBC News Channel,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p02lrnry.jpg,Ma France 3 and 4
https://www.bbc.co.uk/programmes/b00ht28c,Programmes,BBC News Channel,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p02lrnry.jpg,Ma France 1 and 2
https://www.bbc.co.uk/programmes/b01pr7s5,Programmes,BBC News Channel,BBC Radio 4 Extra,https://ichef.bbci.co.uk/images/ic/314x176/p01j1g8p.jpg,Frances Byrnes - An Unchoreographed World
https://www.bbc.co.uk/programmes/b007srq0,Programmes,BBC News Channel,BBC Radio 4 Extra,https://ichef.bbci.co.uk/images/ic/314x176/p026wrty.jpg,The Man Who Made France Old
https://www.bbc.co.uk/programmes/b00br7x6,Programmes,BBC News Channel,BBC Radio 4 Extra,https://ichef.bbci.co.uk/images/ic/314x176/p01gg7q5.jpg,Frances McNeil - With a Little Help From My Friends
https://www.bbc.co.uk/programmes/b0079t5x,Programmes,BBC News Channel,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p01lyrkq.jpg,Ma France
https://www.bbc.co.uk/programmes/p00f5byq,Programmes,Unknown,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p02lrnry.jpg,A Cook's Tour of France
https://www.bbc.co.uk/programmes/b00tjd3t,Programmes,BBC Radio 4,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p01l609m.jpg,Ford Madox Ford and France
https://www.bbc.co.uk/programmes/b007nnxr,Programmes,BBC Radio 4,BBC Two,https://ichef.bbci.co.uk/images/ic/314x176/p02lrnry.jpg,France Inside Out
https://www.bbc.co.uk/sport/live/winter-sports/60043826,Programmes,BBC Radio 4,Winter Sports,https://ichef.bbci.co.uk/news/416/cpsprodpb/4799/production/_123892381_gettyimages-1371664502.jpg,"World Figure Skating Championships: Watch gala from Montpellier, France"
https://www.bbc.co.uk/sport/football/60882155,Programmes,BBC Radio 4,Football,https://ichef.bbci.co.uk/news/416/cpsprodpb/15611/production/_123896578_giroud-index.jpg,France 2-1 Ivory Coast: Olivier Giroud closes in on Thierry Henry's record
